Team,FirstName,LastName,Captain,Number,Email,GamesPlayed,TotalPts,TotalFouls,TotalTechs
Team 1,Brian ,Wilson,TRUE,25,brian@email.com,25,712,75,1
Team 1,Dave ,Moore,FALSE,,dave@email.com,19,514,11,3
Team 1,Evan ,Hopkins,FALSE,18,evan@email.com,19,477,61,5
Team 1,Jeff ,Smith,FALSE,20,jeff@email.com,16,360,43,2
Team 1,Jordan ,Huang,FALSE,23,jordan@email.com,25,520,9,1
Team 1,Damon ,Navi,FALSE,41,damon@email.com,27,555,65,0
Team 1,Mike ,Purewal,FALSE,34,mike@email.com,27,535,55,0
Team 1,Paul ,Pappas,FALSE,50,paul@email.com,28,533,76,1
Team 2,Frank,Vucko,FALSE,28,frank@email.com,27,505,35,2
Team 2,James,Wang,FALSE,68,james@email.com,14,249,68,3
Team 2,Mav,Marick,FALSE,5,mav@email.com,22,390,6,4
Team 2,George,Sparangis,FALSE,,george@email.com,21,334,12,5
Team 2,Petar,Rafajlovic,TRUE,47,petar@email.com,23,352,43,6
Team 2,Ralph,Romano,FALSE,27,ralph@email.com,24,356,11,7
Team 2,Richard,Montoya,FALSE,21,richard@email.com,15,199,51,8
Team 2,Sean,Ludwig,FALSE,1,sean@email.com,19,252,40,15
Team 3,Brian,Kleiboer,FALSE,52,brian@email.com,20,264,71,0
Team 3,Chris,Robertson,FALSE,6,chris@email.com,27,339,69,0
Team 3,Ian,Mayers,FALSE,39,ian@email.com,21,252,53,0
Team 3,Lee,Taylor,TRUE,16,lee@email.com,26,299,10,0
Team 3,Patric,Rossouw,FALSE,31,patric@email.com,13,149,15,1
Team 3,Raja,Shnoudeh,FALSE,57,raja@email.com,14,159,64,2
Team 3,Rob,Larson,FALSE,7,rob@email.com,27,306,56,1
Team 3,Paul,Barnett,FALSE,24,paul@email.com,24,249,73,24
Team 4,Jason,Scott,FALSE,55,jason@email.com,16,162,10,1
Team 4,John,Belbeck,FALSE,33,john@email.com,6,58,15,5
Team 4,Marshall,Chen,FALSE,11,marshall@email.com,25,241,39,2
Team 4,Pasquale,Belfrutto,FALSE,2,pasquale@email.com,17,142,59,3
Team 4,Scott,Marven,FALSE,39,scott@email.com,21,173,26,1
Team 4,Shadi,Almashni,FALSE,3,shadi@email.com,19,148,71,0
Team 4,Steve,Harrison,TRUE,42,steve@email.com,20,154,65,0
Team 4,Tyler,Vindua,FALSE,10,tyler@email.com,25,184,28,0
Team 5,Anatoliy,Sobolev,FALSE,37,anatoliy@email.com,16,107,41,3
Team 5,Eagle,Yeh,FALSE,30,eagle@email.com,26,170,44,4
Team 5,Steve,Parish,FALSE,55,steve@email.com,14,83,23,4
Team 5,Henry,Wong,FALSE,32,henry@email.com,23,135,26,5
Team 5,Nikolay,Klyushkin,TRUE,17,nikolay@email.com,24,137,66,5
Team 5,Paulo,Carvalho,FALSE,8,paulo@email.com,23,109,79,1
Team 5,Peter,Kotsopoulos,FALSE,32,peter@email.com,12,55,50,5
Team 5,RJ,Rojas,FALSE,26,rj@email.com,17,76,8,1
Team 6,Bill,Katsavos,FALSE,14,bill@email.com,28,125,45,0
Team 6,Colin,Andruniak,FALSE,40,colin@email.com,22,92,25,4
Team 6,Colin,Smallwood,TRUE,44,colin@email.com,26,99,80,0
Team 6,Jacob,Alajajian,FALSE,4,jacob@email.com,27,100,76,1
Team 6,Mike,Holder,FALSE,56,mike@email.com,24,68,67,7
Team 6,Omer,Hirsch,FALSE,38,omer@email.com,23,64,21,4
Team 6,Reid,Spence,FALSE,46,reid@email.com,24,54,44,8
Team 6,Rick,Spence,FALSE,35,rick@email.com,22,28,62,6
